Nodes
ID,Title,X,Y,Z,Type
62,Horizontal Bar 62 - Shaft 1,14,15,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
63,Horizontal Bar 63 - Shaft 1,15,16,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
64,Horizontal Bar 64 - Shaft 1,16,13,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
65,Horizontal Bar 65 - Shaft 1,5,6,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
66,Horizontal Bar 66 - Shaft 1,6,7,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
67,Horizontal Bar 67 - Shaft 1,7,8,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
68,Horizontal Bar 68 - Shaft 1,8,5,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
69,Horizontal Bar 69 - Shaft 1,9,10,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
70,Horizontal Bar 70 - Shaft 1,10,11,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
71,Horizontal Bar 71 - Shaft 1,11,12,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
72,Horizontal Bar 72 - Shaft 1,12,9,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
73,Leg 73 - Shaft 2,13,29,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
74,Leg 74 - Shaft 2,14,30,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
75,Leg 75 - Shaft 2,15,31,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
76,Leg 76 - Shaft 2,16,32,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
77,Leg 77 - Shaft 2,29,33,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
78,Leg 78 - Shaft 2,30,34,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
79,Leg 79 - Shaft 2,31,35,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
80,Leg 80 - Shaft 2,32,36,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
81,Leg 81 - Shaft 2,33,37,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
82,Leg 82 - Shaft 2,34,38,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
83,Leg 83 - Shaft 2,35,39,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
84,Leg 84 - Shaft 2,36,40,Leg,pipe,Ø 114.3x4.0,S235,0,0,X-Bracing,yes,yes
85,Diagonal Bar 85 - Shaft 2,13,41,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
86,Diagonal Bar 86 - Shaft 2,41,30,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
87,Diagonal Bar 87 - Shaft 2,14,41,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
88,Diagonal Bar 88 - Shaft 2,41,29,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
89,Diagonal Bar 89 - Shaft 2,14,42,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
90,Diagonal Bar 90 - Shaft 2,42,31,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
91,Diagonal Bar 91 - Shaft 2,15,42,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
