Nodes
ID,Title,X,Y,Z,Type
99,Horizontal Bar 99 - Shaft 3,33,31,Horizontal Bar,angle,L50x50x4,S235,No,1,X-Bracing,yes,no
100,Leg 100 - Shaft 4,31,40,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
101,Leg 101 - Shaft 4,32,41,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
102,Leg 102 - Shaft 4,33,42,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
103,Leg 103 - Shaft 4,40,43,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
104,Leg 104 - Shaft 4,41,44,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
105,Leg 105 - Shaft 4,42,45,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
106,Leg 106 - Shaft 4,43,46,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
107,Leg 107 - Shaft 4,44,47,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
108,Leg 108 - Shaft 4,45,48,Leg,pipe,Ø 139.7x5.0,S355,0,0,X-Bracing,yes,no
109,Diagonal Bar 109 - Shaft 4,31,49,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
110,Diagonal Bar 110 - Shaft 4,49,41,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
111,Diagonal Bar 111 - Shaft 4,32,49,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
112,Diagonal Bar 112 - Shaft 4,49,40,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
113,Diagonal Bar 113 - Shaft 4,32,50,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
114,Diagonal Bar 114 - Shaft 4,50,42,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
115,Diagonal Bar 115 - Shaft 4,33,50,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
116,Diagonal Bar 116 - Shaft 4,50,41,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
117,Diagonal Bar 117 - Shaft 4,33,51,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
118,Diagonal Bar 118 - Shaft 4,51,40,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
119,Diagonal Bar 119 - Shaft 4,31,51,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
120,Diagonal Bar 120 - Shaft 4,51,42,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
121,Diagonal Bar 121 - Shaft 4,40,52,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
122,Diagonal Bar 122 - Shaft 4,52,44,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
123,Diagonal Bar 123 - Shaft 4,41,52,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
124,Diagonal Bar 124 - Shaft 4,52,43,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
125,Diagonal Bar 125 - Shaft 4,41,53,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
126,Diagonal Bar 126 - Shaft 4,53,45,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
127,Diagonal Bar 127 - Shaft 4,42,53,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
128,Diagonal Bar 128 - Shaft 4,53,44,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
129,Diagonal Bar 129 - Shaft 4,42,54,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
130,Diagonal Bar 130 - Shaft 4,54,43,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
131,Diagonal Bar 131 - Shaft 4,40,54,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
132,Diagonal Bar 132 - Shaft 4,54,45,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
133,Diagonal Bar 133 - Shaft 4,43,55,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
134,Diagonal Bar 134 - Shaft 4,55,47,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
135,Diagonal Bar 135 - Shaft 4,44,55,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
136,Diagonal Bar 136 - Shaft 4,55,46,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
137,Diagonal Bar 137 - Shaft 4,44,56,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
138,Diagonal Bar 138 - Shaft 4,56,48,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
139,Diagonal Bar 139 - Shaft 4,45,56,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
140,Diagonal Bar 140 - Shaft 4,56,47,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
141,Diagonal Bar 141 - Shaft 4,45,57,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
142,Diagonal Bar 142 - Shaft 4,57,46,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
143,Diagonal Bar 143 - Shaft 4,43,57,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
144,Diagonal Bar 144 - Shaft 4,57,48,Diagonal Bar,angle,L50x50x5,S235,No,1,X-Bracing,yes,no
